2025-06-02 13:23:21.335 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 4.796 seconds (JVM running for 5.792)
2025-06-02 13:29:01.501 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-02 13:29:01.501 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-02 13:29:01.503 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-06-02 13:46:54.776 [http-nio-8080-exec-83] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 13:46:58.846 [http-nio-8080-exec-86] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 13:49:26.654 [http-nio-8080-exec-35] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 13:52:05.005 [http-nio-8080-exec-45] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 13:52:06.874 [http-nio-8080-exec-46] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 13:55:04.790 [http-nio-8080-exec-75] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 13:55:08.302 [http-nio-8080-exec-80] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 13:58:17.058 [http-nio-8080-exec-14] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 13:58:24.627 [http-nio-8080-exec-32] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:02:30.082 [http-nio-8080-exec-83] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:02:31.308 [http-nio-8080-exec-84] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:06:02.586 [http-nio-8080-exec-31] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:06:04.339 [http-nio-8080-exec-37] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:19:48.745 [http-nio-8080-exec-41] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:19:50.138 [http-nio-8080-exec-44] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:22:58.251 [http-nio-8080-exec-92] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:23:00.209 [http-nio-8080-exec-97] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:26:19.684 [http-nio-8080-exec-69] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:26:20.456 [http-nio-8080-exec-78] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:31:13.372 [http-nio-8080-exec-42] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:31:14.920 [http-nio-8080-exec-40] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:31:39.093 [http-nio-8080-exec-49] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:31:39.950 [http-nio-8080-exec-50] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:34:50.416 [http-nio-8080-exec-99] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
2025-06-02 14:34:57.979 [http-nio-8080-exec-24] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[update]...
2025-06-02 14:38:38.518 [http-nio-8080-exec-63] INFO  com.project.travel.handle.insertFill - 公共字段自动填充[insert]...
